SSC_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SSC40747,16,3,6,3,0,0,3,9,0,42
SSC40748,94,248,41,50,65,55,10,15,12,580
SSC40749,25,3,3,4,10,7,4,13,0,65
SSC40750,10,4,0,0,3,3,0,3,0,26
SSC40751,17,14,16,11,8,9,13,19,0,106
SSC40752,4,6,0,0,4,0,0,4,0,23
SSC40753,74,52,34,21,29,15,15,19,4,256
SSC40754,182,145,269,167,191,148,172,214,30,1519
SSC40755,41,14,10,12,15,4,10,19,3,121
SSC40756,3,0,0,0,4,0,0,0,0,5
SSC40757,0,0,0,0,0,0,0,0,0,5
SSC40758,100,341,64,52,102,44,9,38,17,766
SSC40759,0,0,0,0,0,0,0,0,0,3
SSC40760,5,0,0,8,0,0,0,6,0,17
SSC40761,34,11,14,8,4,4,11,12,0,91
SSC40762,0,0,0,0,0,0,0,3,0,0
SSC40763,189,341,214,189,230,172,48,139,28,1551
SSC40764,151,170,210,137,148,92,65,197,12,1184
SSC40765,38,0,3,0,5,0,0,6,0,59
SSC40766,16,9,3,0,6,0,3,14,0,57
SSC40767,60,9,8,3,11,3,8,23,0,136
SSC40768,378,716,329,232,466,278,83,172,43,2697
SSC40769,7,4,7,0,5,11,0,3,0,46
SSC40770,3,3,0,3,4,3,3,7,0,29
SSC40771,17,61,20,14,19,16,7,8,0,158
SSC40772,0,0,5,0,4,3,0,0,0,10
SSC40773,11,9,6,3,8,4,3,8,3,50
SSC40774,50,39,46,31,20,21,32,61,6,304
SSC40775,9,4,0,0,0,0,3,6,0,22
SSC40776,4,0,5,0,8,0,0,0,0,16
SSC40777,7,4,9,0,0,0,0,0,0,23
SSC40778,22,12,23,16,15,3,0,3,3,99
SSC40779,40,32,29,24,30,24,10,23,3,217
SSC40780,32,7,11,5,16,3,9,19,0,90
SSC40781,139,407,97,109,161,91,27,40,4,1079
SSC40782,290,271,262,239,201,191,136,341,25,1956
SSC40783,88,51,45,40,50,34,26,71,6,406
SSC40784,92,22,33,30,22,16,27,46,3,299
SSC40785,0,0,0,0,0,0,0,0,0,5
SSC40786,3,0,0,0,0,0,0,4,0,10
SSC40787,130,150,158,102,109,77,50,120,14,918
SSC40788,21,38,13,8,9,7,0,3,6,115
SSC40789,33,13,6,9,7,4,8,28,0,119
SSC40790,19,3,7,4,7,3,0,9,3,52
SSC40791,105,147,109,74,79,59,44,71,11,704
SSC40792,28,29,34,26,24,21,40,22,3,236
SSC40793,30,5,4,5,0,3,3,0,0,62
SSC40794,8,0,0,0,0,0,0,3,0,14
SSC40795,11,4,3,4,4,4,4,3,0,36
SSC40796,4,0,0,0,0,0,0,0,0,5
SSC40797,483,1229,411,438,566,374,114,292,66,3980
SSC40798,0,0,0,0,0,0,0,0,0,0
SSC40799,130,52,69,52,62,32,37,65,7,503
SSC40800,4,3,0,0,0,0,0,0,0,10
SSC40801,15,4,0,0,3,0,3,0,0,23
SSC40802,71,28,64,35,39,38,49,67,11,407
SSC40803,3,0,0,0,0,0,0,3,0,8
SSC40804,3,0,0,0,0,0,0,3,0,6
SSC40805,229,485,71,95,149,111,22,51,19,1231
SSC40806,4,4,0,0,3,0,0,0,0,8
SSC40807,17,3,0,0,0,3,0,0,0,32
SSC40808,0,0,0,0,0,0,0,0,0,0
SSC40809,18,3,3,4,3,0,0,6,0,41
SSC40810,98,191,76,70,109,65,17,44,7,669
SSC40811,116,83,165,128,88,99,76,144,14,900
SSC40812,27,4,8,6,3,7,6,10,0,65
SSC40813,102,250,221,244,131,103,126,277,40,1494
SSC40814,9,0,0,0,0,0,0,0,0,12
SSC40815,17,3,0,0,0,0,0,3,0,27
SSC40816,14,5,11,3,3,3,0,5,0,47
SSC40817,5,16,5,3,6,4,0,0,0,33
SSC40818,27,4,0,3,3,0,0,8,0,49
SSC40819,101,356,108,123,166,98,30,103,18,1111
SSC40820,154,354,149,104,150,81,34,47,29,1101
SSC40821,162,351,180,230,237,152,64,118,18,1508
SSC40822,17,5,9,9,0,3,0,10,0,67
SSC40823,3,0,3,0,3,0,0,0,0,18
SSC40824,0,0,0,0,0,0,0,0,0,0
SSC40825,13,0,7,5,7,4,0,9,0,46
SSC40826,73,197,103,107,110,81,47,109,6,837
SSC40827,4,0,0,0,0,0,0,0,0,3
SSC40828,23,0,4,0,8,3,0,7,0,58
SSC40829,6,4,3,8,3,0,3,13,0,45
SSC40830,37,110,24,31,26,25,3,23,0,276
SSC40831,0,0,0,0,0,0,0,0,0,4
SSC40832,66,106,94,75,62,60,26,63,6,558
SSC40833,3,3,7,0,0,5,0,4,0,25
SSC40834,0,0,0,0,0,0,0,0,0,0
SSC40835,895,1716,800,837,1012,655,341,549,103,6911
SSC40836,3,0,0,0,0,0,0,0,0,4
SSC40837,108,283,81,81,106,59,11,35,15,775
SSC40838,0,0,0,0,0,0,0,0,3,6
SSC40839,9,0,0,0,0,0,0,4,0,10
SSC40840,80,106,85,75,68,65,32,78,5,590
SSC40841,3,7,3,0,0,3,0,3,0,23
SSC40842,130,145,133,87,123,67,47,64,7,798
SSC40843,267,311,239,179,198,186,70,154,21,1636
SSC40844,113,118,127,94,84,61,43,82,3,727
SSC40845,106,212,28,33,58,52,4,12,8,523
SSC40846,40,55,11,16,17,23,0,10,4,180
SSC40847,55,24,13,14,16,3,8,26,0,165
SSC40848,108,277,134,121,138,100,35,91,9,1013
SSC40849,6,0,0,0,0,0,0,0,0,5
SSC40850,3,0,0,0,0,0,0,0,0,8
