SSC_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC12266,6,8,39,42,49,26,7,0,0,174,3,17,58,75,54,25,11,6,0,242,131,373,1503,1603,1140,715,232,34,4,5741
SSC12267,8,15,66,51,32,27,6,0,0,206,0,22,94,77,39,29,11,3,0,272,121,535,2356,1663,1020,650,185,19,9,6553
SSC12268,0,0,10,8,9,3,3,0,0,36,0,3,10,16,16,6,0,0,0,56,45,95,282,352,281,216,60,9,0,1334
SSC12269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7
SSC12270,0,0,3,0,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,4,7,17,19,31,22,0,0,0,103
SSC12271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,15,3,0,0,20
SSC12272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,12
SSC12273,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,10,11,8,24,32,48,46,14,3,0,183
SSC12274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC12275,0,0,6,5,14,11,3,0,0,44,6,10,12,24,18,18,0,0,0,91,30,109,215,199,244,156,30,4,0,992
