SA2_MAINCODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
107021135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7
107031136,18,27,24,42,71,70,42,45,0,335,12,21,21,18,54,47,14,36,45,254,268,740,738,828,1396,1204,687,924,90,6881
107031137,4,22,12,19,23,22,18,13,0,137,5,12,4,5,24,24,16,24,29,131,100,336,322,368,595,523,248,357,55,2906
107031138,0,20,7,12,23,19,10,19,0,119,4,18,12,8,7,18,3,20,16,112,131,441,405,368,521,543,301,486,42,3231
107031139,3,6,8,6,18,14,7,11,0,80,0,11,6,6,9,11,11,11,15,81,118,364,306,309,479,489,284,353,43,2746
107031140,4,11,9,12,17,14,8,18,0,93,11,28,3,3,6,16,8,19,13,109,163,509,446,393,507,560,286,570,45,3478
107031141,7,37,36,29,59,66,30,49,4,325,11,18,26,14,52,63,19,33,47,285,321,901,914,909,1593,1500,730,1062,107,8041
107031142,3,21,23,23,35,50,10,29,0,200,3,17,13,17,25,30,0,24,36,166,184,553,499,552,931,761,367,510,78,4435
107031143,11,39,33,44,82,71,17,33,3,323,13,34,31,29,62,55,23,22,67,344,267,842,825,987,1561,1282,623,803,162,7347
107041144,9,60,38,44,58,57,23,48,0,345,15,28,26,22,46,46,17,37,83,315,364,1245,1098,1000,1663,1536,752,1198,167,9030
107041145,10,42,28,31,74,59,23,35,5,300,3,25,30,15,34,39,8,33,57,240,243,814,714,784,1332,1186,584,813,130,6596
107041146,3,41,36,42,57,68,33,48,0,334,9,29,20,16,58,58,14,25,58,283,331,1353,1080,1010,1791,1566,835,1157,135,9260
107041147,9,25,23,24,29,40,17,24,0,195,0,13,21,16,18,35,5,26,29,173,146,494,534,551,765,970,453,656,79,4636
107041148,5,19,22,19,22,25,13,23,0,150,5,18,14,24,22,29,7,25,31,178,215,705,631,636,838,1016,500,902,65,5504
107041150,16,43,50,44,49,67,33,46,0,333,4,24,22,16,38,40,15,40,63,273,328,1119,1013,1023,1643,1652,928,1238,127,9070
107041548,5,22,20,26,54,36,20,25,0,213,5,30,14,8,25,20,16,18,43,184,211,844,621,613,1307,1158,620,852,87,6314
107041549,7,42,36,27,45,43,22,25,3,252,4,29,28,16,31,54,12,28,66,267,247,1063,902,795,1434,1284,581,789,137,7234
108011151,5,8,10,7,8,10,8,14,4,63,5,6,7,10,19,13,4,10,15,83,70,238,226,216,309,275,148,327,29,1857
108011152,5,32,21,18,28,40,8,37,3,196,8,24,20,9,20,20,5,14,49,159,210,695,586,679,752,675,310,548,106,4571
108011153,0,14,5,15,11,12,3,11,3,67,6,15,12,4,9,15,8,5,24,103,78,323,293,320,278,298,127,247,62,2023
108011154,3,19,7,11,16,11,10,7,0,74,3,3,3,4,9,7,3,3,27,63,84,245,193,252,305,223,108,177,45,1641
108021155,7,24,20,22,36,25,17,27,3,183,5,12,9,17,31,17,12,20,70,189,186,578,553,685,964,552,330,474,148,4467
108021156,8,16,14,7,21,9,4,8,0,87,8,22,14,11,14,12,5,15,62,152,180,457,459,470,530,449,247,498,125,3414
108021157,0,10,3,4,12,11,4,10,0,58,5,6,5,11,4,3,0,0,18,59,75,199,195,235,318,213,123,217,32,1603
