SAL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SAL31185,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4
SAL31186,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,3,0,0,7
SAL31187,0,0,0,0,0,0,3,5,13,154,112,31,299,28,20,48,339,348,13,700
SAL31188,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,3,0,9
SAL31189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31194,0,0,0,0,0,0,0,0,0,4,7,0,16,0,0,0,16,13,0,22
SAL31195,0,0,0,0,0,0,0,0,0,16,13,3,29,0,0,0,30,24,0,53
SAL31196,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,7
SAL31197,0,0,0,0,0,0,3,0,3,4,9,0,11,0,0,0,11,15,0,26
SAL31198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31200,0,0,0,0,0,0,0,0,0,6,8,0,18,0,0,4,19,22,0,37
SAL31201,0,0,0,0,0,0,0,0,0,7,0,0,14,0,0,8,18,10,0,26
SAL31202,0,0,0,0,0,0,0,0,6,83,62,11,163,10,3,13,176,62,4,242
SAL31203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
SAL31207,0,0,0,0,0,0,0,0,0,4,0,4,13,0,0,0,13,3,0,18
SAL31208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31209,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,6,6,0,10
SAL31210,0,0,0,0,0,0,0,4,0,69,51,5,124,3,3,9,131,42,4,178
SAL31211,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,6,0,4
SAL31212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31213,0,0,0,0,0,0,3,4,8,126,82,5,215,5,11,16,232,115,8,352
SAL31214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31215,0,0,0,0,0,0,0,0,0,21,13,0,32,0,4,4,32,10,0,46
SAL31216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31217,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,5,4,0,11
SAL31218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31219,0,0,0,0,0,0,0,9,15,207,149,49,409,27,25,48,457,237,9,710
SAL31220,0,0,0,0,0,0,0,0,0,83,34,6,122,0,3,5,124,41,0,169
SAL31221,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,3
SAL31222,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
SAL31223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7
SAL31224,0,0,0,0,0,0,0,0,0,5,8,0,16,0,0,0,16,8,0,18
SAL31225,0,0,0,0,0,0,0,0,0,62,22,7,91,0,0,0,91,44,0,132
SAL31226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31227,0,0,0,0,0,0,0,0,0,7,6,5,14,0,0,0,16,17,3,37
SAL31228,0,0,0,0,0,0,5,0,3,22,29,0,58,4,9,6,61,72,6,136
SAL31229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31231,0,0,0,0,0,0,0,0,0,8,0,0,11,0,0,0,11,5,0,15
SAL31232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31234,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,4,0,6
SAL31235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31236,3,3,0,0,0,3,0,0,3,115,52,19,186,11,7,20,204,113,0,319
SAL31237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31238,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,4,4,0,12
SAL31239,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,9
SAL31240,0,0,0,0,0,0,3,0,3,5,0,0,5,0,4,4,7,12,0,22
SAL31241,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,6,0,4
