ASGS_Structure,Census_Code_2016,AGSS_Code_2016,Census_Name_2016,Area sqkm
SA2,101041025,101041025,Merimbula - Tura Beach,97.3395
SA2,101041026,101041026,Moruya - Tuross Head,165.4118
SA2,101041027,101041027,Narooma - Bermagui,252.652
SA2,101051539,101051539,Goulburn,64.7865
SA2,101051540,101051540,Goulburn Region,9035.1221
SA2,101061541,101061541,Yass,99.7342
SA2,101061542,101061542,Yass Region,5680.8782
SA2,101061543,101061543,Young,505.7528
SA2,101061544,101061544,Young Region,5849.8086
SA2,102011028,102011028,Avoca Beach - Copacabana,6.4376
SA2,102011029,102011029,Box Head - MacMasters Beach,32.086
SA2,102011030,102011030,Calga - Kulnura,767.9512
SA2,102011031,102011031,Erina - Green Point,33.7934
SA2,102011032,102011032,Gosford - Springfield,16.9124
SA2,102011033,102011033,Kariong,8.3063
SA2,102011034,102011034,Kincumber - Picketts Valley,12.0887
SA2,102011035,102011035,Narara,7.7021
SA2,102011036,102011036,Niagara Park - Lisarow,16.7316
SA2,102011037,102011037,Point Clare - Koolewong,6.7874
SA2,102011038,102011038,Saratoga - Davistown,4.7683
SA2,102011039,102011039,Terrigal - North Avoca,10.1073
SA2,102011040,102011040,Umina - Booker Bay - Patonga,25.2284
SA2,102011041,102011041,Wamberal - Forresters Beach,13.7221
SA2,102011042,102011042,Woy Woy - Blackwall,17.4225
SA2,102011043,102011043,Wyoming,8.381
SA2,102021044,102021044,Bateau Bay - Killarney Vale,10.8595
SA2,102021045,102021045,Blue Haven - San Remo,20.9797
SA2,102021046,102021046,Budgewoi - Buff Point - Halekulani,9.3531
SA2,102021047,102021047,Chittaway Bay - Tumbi Umbi,24.4986
SA2,102021048,102021048,Gorokan - Kanwal - Charmhaven,11.249
SA2,102021049,102021049,Jilliby - Yarramalong,346.7662
SA2,102021050,102021050,Lake Munmorah - Mannering Park,35.4946
SA2,102021051,102021051,Ourimbah - Fountaindale,114.1172
SA2,102021052,102021052,Summerland Point - Gwandalan,9.1793
SA2,102021053,102021053,The Entrance,13.8576
SA2,102021054,102021054,Toukley - Norah Head,10.5216
SA2,102021055,102021055,Tuggerah - Kangy Angy,27.8463
SA2,102021056,102021056,Warnervale - Wadalba,42.89
SA2,102021057,102021057,Wyong,15.0334
SA2,103011058,103011058,Bathurst,119.5048
SA2,103011059,103011059,Bathurst - East,94.0341
SA2,103011060,103011060,Bathurst Region,3798.2628
SA2,103011061,103011061,Oberon,2972.3813
SA2,103021062,103021062,Condobolin,15858.8501
SA2,103021063,103021063,Cowra,242.201
SA2,103021064,103021064,Cowra Region,3037.1557
SA2,103021065,103021065,Forbes,4598.0438
SA2,103021066,103021066,Grenfell,3294.0766
SA2,103021067,103021067,Parkes (NSW),234.7556
SA2,103021068,103021068,Parkes Region,5418.1649
SA2,103021069,103021069,West Wyalong,8317.4729
SA2,103031070,103031070,Lithgow,119.9844
SA2,103031071,103031071,Lithgow Region,2514.07
SA2,103031072,103031072,Mudgee,65.8948
SA2,103031073,103031073,Mudgee Region - East,2852.0843
SA2,103031074,103031074,Mudgee Region - West,8043.8635
