SA2_MAINCODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
104021089,0,0,0,33,3,0,0,4,0,3,0,3,3,14,104,137,0,3,0,3,0,3,0,0,0,20,14,38,273,104,14,274,17,157,12,180,19,1017,136,2208
104021090,0,0,0,13,0,0,0,0,0,3,0,0,0,6,27,43,0,3,0,0,0,0,0,0,0,7,0,10,57,40,7,72,6,51,4,60,10,306,37,653
104021091,0,0,0,18,3,3,0,0,0,0,0,0,0,13,70,93,0,0,0,0,0,0,0,3,0,14,12,32,175,78,10,164,11,115,17,131,13,730,94,1529
105011092,0,0,0,8,0,0,0,0,0,0,0,0,0,3,18,33,3,0,0,0,0,0,0,0,0,0,4,18,95,12,9,46,7,31,0,12,0,73,27,310
105011093,0,0,0,31,0,0,0,0,0,3,0,0,0,3,24,38,0,0,0,0,0,0,0,0,0,8,6,20,139,8,7,68,5,62,0,21,3,113,32,469
105011094,0,0,0,9,0,0,0,0,0,3,0,0,0,3,15,22,0,0,0,0,0,0,0,0,0,6,4,14,113,15,6,56,7,32,5,24,3,105,32,400
105011095,0,3,0,25,3,0,0,3,0,0,0,4,0,7,27,43,4,0,0,0,0,0,0,0,0,5,3,20,148,20,8,69,9,52,3,31,6,160,34,534
105011096,0,3,0,21,0,0,0,0,0,0,0,3,0,0,26,39,7,0,0,0,0,0,0,3,0,4,6,25,162,41,3,63,10,46,3,40,5,171,43,590
105021097,0,3,0,53,8,0,0,0,0,4,0,0,0,24,95,132,0,0,3,0,0,0,0,0,0,41,19,76,331,59,16,204,26,180,18,126,36,781,143,1921
105021098,0,0,0,3,0,0,0,3,0,0,0,0,0,0,17,20,3,0,0,0,0,0,0,0,0,4,3,15,62,7,5,18,3,28,0,6,0,47,23,188
105031099,0,6,0,29,5,0,3,0,0,0,0,3,0,12,55,77,3,0,0,3,0,3,0,0,0,10,12,35,192,48,13,104,5,74,11,73,7,397,78,998
105031100,0,0,0,40,10,0,0,0,0,8,0,0,0,3,65,87,4,0,0,0,0,0,0,0,0,7,3,11,269,35,12,150,22,100,4,70,11,234,73,970
105031101,0,9,0,74,0,0,0,3,0,6,0,0,0,7,89,118,0,0,0,0,0,0,0,3,0,15,10,30,445,51,10,258,23,132,15,94,14,489,110,1629
105031102,0,7,0,36,0,4,0,0,0,5,0,0,0,3,40,49,0,0,0,0,0,0,0,0,0,14,11,27,220,27,6,91,10,82,6,71,9,272,58,841
