SA2_MAINCODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
105031101,69,342,84,111,8,691,96,60,369,213,325,25,1095,3,6,25,13,51,0,93,7,0,24,32,223,7,288,0,0,16,13,67,24,121,324,211,1418,805,2462,193,5408
105031102,27,135,32,48,6,277,29,13,155,96,140,19,446,0,3,8,6,26,0,41,3,0,6,19,91,0,121,0,0,0,3,46,12,71,112,59,517,384,1179,124,2380
105031103,23,104,28,46,4,212,12,15,91,69,79,13,277,0,3,13,0,16,3,33,0,0,7,11,72,6,91,4,0,8,6,45,9,75,49,52,422,261,927,122,1841
105031104,5,75,23,24,3,139,7,5,35,45,75,10,173,0,0,4,0,5,0,9,0,0,3,0,41,0,51,0,0,7,3,22,0,33,32,11,212,155,549,80,1038
105031105,19,95,30,39,8,208,3,9,60,50,87,12,222,0,0,0,0,7,0,10,0,0,7,11,66,6,93,0,0,3,6,31,12,56,36,41,328,249,820,85,1553
105031106,16,96,29,53,5,217,10,5,72,74,121,12,292,0,0,3,0,12,3,20,0,0,7,3,58,4,76,0,0,11,12,28,9,66,53,43,305,289,941,118,1745
106011107,18,105,34,54,9,255,24,26,105,83,133,16,382,0,0,5,9,7,0,23,0,3,10,20,168,3,198,3,0,6,14,66,12,103,116,80,537,487,1752,150,3124
106011108,30,142,48,97,6,344,29,20,166,175,358,44,791,4,0,3,13,36,5,56,3,3,17,32,220,7,276,0,0,7,15,98,26,146,99,85,617,662,2950,231,4644
106011109,16,77,23,47,9,206,10,18,74,77,101,22,306,4,0,7,0,12,4,25,3,0,0,9,110,0,122,0,0,17,16,50,14,103,105,62,366,358,1167,126,2184
106011110,32,93,46,68,8,263,15,13,100,98,118,14,363,0,0,5,3,9,0,20,0,0,3,14,107,5,138,0,0,13,11,56,10,86,102,78,458,440,1370,127,2562
106011111,20,104,45,101,9,302,16,14,127,164,339,25,681,0,0,0,0,26,0,33,3,0,7,21,222,10,262,3,0,7,12,119,28,170,68,57,424,535,2688,195,3978
106011112,36,164,56,83,4,385,26,15,121,100,203,20,486,0,0,0,3,19,3,33,0,5,10,21,205,8,255,0,0,16,13,70,17,124,165,111,776,650,2827,176,4700
106011113,8,30,14,30,6,100,5,0,35,25,42,5,115,0,0,0,0,0,0,9,0,0,3,8,51,0,64,0,0,0,7,42,11,62,39,20,198,209,825,82,1389
106021114,22,72,23,23,5,159,30,9,130,88,112,19,386,0,0,0,0,7,3,16,3,0,6,21,59,3,94,0,0,4,10,34,11,61,92,45,405,344,987,85,1956
106021115,79,414,130,137,15,893,98,64,444,265,479,58,1404,3,3,10,13,36,9,67,7,7,27,69,283,14,407,13,0,29,30,130,26,225,416,251,1744,1423,3759,292,7882
106021116,27,192,48,43,4,377,32,21,159,81,95,17,413,0,0,3,5,5,4,16,0,0,12,19,94,0,124,0,0,8,10,42,5,72,178,86,726,482,1108,74,2651
106021117,45,186,72,115,12,473,47,28,264,234,387,39,1006,0,0,6,11,25,3,45,9,3,24,41,309,12,393,0,0,7,31,139,36,220,195,121,942,944,3702,255,6154
106021118,38,141,35,50,3,309,24,16,130,113,192,12,481,0,0,0,0,18,3,24,0,0,5,23,120,3,154,0,0,8,19,48,14,97,119,93,552,571,1784,89,3210
106031119,18,73,28,28,0,166,11,8,78,48,86,13,247,0,0,3,3,8,0,12,0,3,9,21,43,5,79,0,0,8,11,40,7,60,63,43,325,272,852,72,1617
106031120,12,26,25,22,3,98,5,4,47,58,112,15,246,0,0,3,3,8,0,21,0,0,6,7,66,4,80,0,0,3,5,35,9,56,33,23,162,251,886,95,1458
106031121,34,224,84,79,4,507,48,29,224,205,292,22,815,0,0,16,18,36,4,85,3,3,14,40,156,3,219,7,3,14,21,96,31,182,304,131,1054,986,2507,208,5183
106031122,15,99,44,72,6,254,19,12,122,96,239,27,516,0,0,8,0,21,3,29,3,0,6,22,163,0,191,3,0,3,7,57,24,100,79,42,403,452,1925,126,3031
