SSC_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SSC50355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50356,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,5
SSC50357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50358,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,3,0,5
SSC50359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50363,0,0,0,0,0,0,0,0,0,9,3,0,10,0,0,3,17,12,0,26
SSC50364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50366,0,3,0,0,0,3,0,0,3,100,74,9,183,12,6,22,202,63,0,268
SSC50367,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4
SSC50368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50370,0,0,0,0,0,0,0,0,0,22,17,0,37,0,0,4,42,18,0,55
SSC50371,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,4
SSC50372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50373,0,0,0,0,0,0,0,0,0,28,23,0,50,0,3,3,54,38,0,97
SSC50374,0,0,0,0,0,0,0,0,0,4,3,0,9,0,0,0,14,0,0,15
SSC50375,0,0,0,0,0,6,3,0,3,144,111,14,264,17,17,34,294,111,3,411
SSC50376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
SSC50377,0,0,0,0,0,0,0,0,0,13,0,0,9,0,0,0,9,9,0,17
SSC50378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50379,0,0,0,0,0,0,3,0,3,10,16,0,28,6,3,11,39,48,0,83
SSC50380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50381,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,5
SSC50382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50383,0,0,0,0,0,0,0,0,0,82,59,4,142,11,3,12,153,52,0,208
